id,source_file,file_sha256,page_or_frame,visible_or_machine_value,semantic_role,date_or_version,provenance_level,chronology,generation_role,verification,status_note
PR-017,NEXAH — Harmonic Transition Physics_ Mathematical Research Report.md,6b8e8595d98caa6671307ebf910199090b69d7ad4258c5bcae88d1ac7c0c0ceb,lines 976-1026,17,17 as state index in an explicitly 24-state cycle,2026 retrospective,P2_RETROSPECTIVE_TEXT,retrospective,formal construction,exact text verified,not cycle length 17
PR-018,NEXAH — Harmonic Transition Physics_ Mathematical Research Report.md,6b8e8595d98caa6671307ebf910199090b69d7ad4258c5bcae88d1ac7c0c0ceb,line 2019,17;33;41,broad old-framework number list,2026 retrospective,P2_RETROSPECTIVE_TEXT,retrospective,mentioned,exact text verified,74 absent; no operator coupling
PR-019,NEXAH — Harmonic Transition Physics_ Mathematical Research Report.md,6b8e8595d98caa6671307ebf910199090b69d7ad4258c5bcae88d1ac7c0c0ceb,line 2540,17;41,question whether numbers are statistically exceptional,2026 retrospective,P2_RETROSPECTIVE_TEXT,retrospective,hypothesis question,exact text verified,explicitly requests controls
PR-020,NEXAH — Harmonic Transition Physics_ Mathematical Research Report.md,6b8e8595d98caa6671307ebf910199090b69d7ad4258c5bcae88d1ac7c0c0ceb,line 2605,17;33;41,special physical roles,2026 retrospective,P2_RETROSPECTIVE_TEXT,retrospective,hypothesis,exact text verified,report classifies as still hypotheses
PR-021,NEXAH — Harmonic Transition Physics_ Mathematical Research Report.md,6b8e8595d98caa6671307ebf910199090b69d7ad4258c5bcae88d1ac7c0c0ceb,line 2715,17;41,reintroduce only after tests,2026 retrospective,P2_RETROSPECTIVE_TEXT,retrospective,conditional mention,exact text verified,withholds use before tests
PR-022,NEXAH — Harmonic Transition Physics_ Mathematical Research Report.md,6b8e8595d98caa6671307ebf910199090b69d7ad4258c5bcae88d1ac7c0c0ceb,lines 346 and 350,mirror;return,generic transition attributes,2026 retrospective,P2_RETROSPECTIVE_TEXT,retrospective,mentioned,exact text verified,no 41/74/17 coupling
PR-023,NEXAH — Harmonic Transition Physics_ Mathematical Research Report.md,6b8e8595d98caa6671307ebf910199090b69d7ad4258c5bcae88d1ac7c0c0ceb,lines 692-703,+1;0;-1,thresholded sign states q(theta),2026 retrospective,P2_RETROSPECTIVE_TEXT,retrospective,formal construction,exact text verified,not residues of 41 and 74
PR-024,Mandelbrot Cikada_Faden_Zusammenfassung.pdf,e56d74a702c5eff2a786141662624d989b7e085b0690cfb40297624114f0b6ff,page 2,Alpha +1,quarter rotation of transformation space,2026 retrospective,P2_RETROSPECTIVE_TEXT,retrospective,model account,PDF text and page visually established,not modular return residual
PR-025,Mandelbrot Observer Path Reconstruction/Mandelbrot_Zoom_C_I_KA_3301.gif,20116d06d559c1d293eaa078366f843e716d3b9b6bea1411c7881787aeaa38b5,frame 29,A Start,false OCR candidate read as -74 Start,2024-11-21,P0_ABSENT,contemporaneous export,annotation,visually verified,74 is absent
PR-026,whole admitted package,7a2f14aad5932f1775d9cf3c7120850a728d7ff85b7425ea07975d3f3d2e6475,corpus,41↔74 mod 17,no explicit coupling,2024 historical visuals plus 2026 reports,P0_ABSENT,cross-source audit,not present,inventory text OCR-candidate and visual checks,POST_HOC_COUPLING_ONLY
