ranking_view,rank,capability_id,capability_name,USER_NEED,DISTINCTIVE_VALUE,CURRENT_MATURITY,EVIDENCE_STRENGTH,INTEGRATION_EFFORT_INVERSE,PUBLIC_EXPLAINABILITY,STRATEGIC_FIT,weight_profile_in_field_order,weighted_score,maximum_score,priority_action,rationale
SOFTWARE_READINESS,5,CAP-14,NEXAH public Library and Living Atlas,3,2,3,3,3,3,3,2:2:3:3:2:1:2,43,45,P1 — EXPOSE_NOW,Scores are evidence-based; corpus volume and visual complexity are excluded.
SOFTWARE_READINESS,6,CAP-02,ILAU sealed representation comparison,3,3,3,3,2,2,3,2:2:3:3:2:1:2,42,45,P3 — INTEGRATE_LATER,Scores are evidence-based; corpus volume and visual complexity are excluded.
SOFTWARE_READINESS,7,CAP-05,Claim Ceiling and Human Authority gates,3,3,3,3,2,2,3,2:2:3:3:2:1:2,42,45,P1 — EXPOSE_NOW,Scores are evidence-based; corpus volume and visual complexity are excluded.
SOFTWARE_READINESS,8,CAP-21,"Archive, custody and genealogy management",3,3,3,3,2,2,3,2:2:3:3:2:1:2,42,45,P1 — EXPOSE_NOW,Scores are evidence-based; corpus volume and visual complexity are excluded.
SOFTWARE_READINESS,9,CAP-22,Orientation Translation and evidence synthesis,3,3,3,3,2,2,3,2:2:3:3:2:1:2,42,45,P2 — VALIDATE_WITH_USER,Scores are evidence-based; corpus volume and visual complexity are excluded.
SOFTWARE_READINESS,10,CAP-03,Residual and ReturnTest recording,3,3,2,3,2,2,3,2:2:3:3:2:1:2,39,45,P1 — EXPOSE_NOW,Scores are evidence-based; corpus volume and visual complexity are excluded.
SOFTWARE_READINESS,11,CAP-10,ORION certified structural processing,3,3,2,3,2,2,3,2:2:3:3:2:1:2,39,45,P1 — EXPOSE_NOW,Scores are evidence-based; corpus volume and visual complexity are excluded.
SOFTWARE_READINESS,12,CAP-15,THE EYE sealed result projection,2,3,3,3,1,2,3,2:2:3:3:2:1:2,38,45,P3 — INTEGRATE_LATER,Scores are evidence-based; corpus volume and visual complexity are excluded.
SOFTWARE_READINESS,13,CAP-08,Network Orientation CLI and briefs,3,2,2,3,2,3,3,2:2:3:3:2:1:2,38,45,P2 — VALIDATE_WITH_USER,Scores are evidence-based; corpus volume and visual complexity are excluded.
SOFTWARE_READINESS,14,CAP-07,NEXAH Kernel and source adapters,3,2,2,3,2,2,3,2:2:3:3:2:1:2,37,45,P1 — EXPOSE_NOW,Scores are evidence-based; corpus volume and visual complexity are excluded.
SOFTWARE_READINESS,15,CAP-06,Orientation Language Specification 1.0,2,3,1,3,3,2,3,2:2:3:3:2:1:2,36,45,P1 — EXPOSE_NOW,Scores are evidence-based; corpus volume and visual complexity are excluded.
SOFTWARE_READINESS,16,CAP-16,NRRC candidate contract validation,2,3,2,3,1,1,3,2:2:3:3:2:1:2,34,45,P3 — INTEGRATE_LATER,Scores are evidence-based; corpus volume and visual complexity are excluded.
SOFTWARE_READINESS,17,CAP-01,Multi-view intake and frame declaration,3,3,1,2,2,2,3,2:2:3:3:2:1:2,33,45,P1 — EXPOSE_NOW,Scores are evidence-based; corpus volume and visual complexity are excluded.
SOFTWARE_READINESS,18,CAP-18,Interactive HTML orientation instruments,2,2,2,2,2,3,2,2:2:3:3:2:1:2,31,45,P5 — CURATE_FOR_ARENA_OR_ATLAS,Scores are evidence-based; corpus volume and visual complexity are excluded.
SOFTWARE_READINESS,19,CAP-23,Reproducible GLB visualization builders,2,2,2,2,2,2,2,2:2:3:3:2:1:2,30,45,P3 — INTEGRATE_LATER,Scores are evidence-based; corpus volume and visual complexity are excluded.
SOFTWARE_READINESS,20,CAP-09,IEEE Geometry benchmark orientation,2,2,2,3,1,1,2,2:2:3:3:2:1:2,30,45,P4 — HOLD_AS_RESEARCH,Scores are evidence-based; corpus volume and visual complexity are excluded.
SOFTWARE_READINESS,21,CAP-19,Rödelheim and visual/operator research cartography,2,2,1,2,2,3,2,2:2:3:3:2:1:2,28,45,P5 — CURATE_FOR_ARENA_OR_ATLAS,Scores are evidence-based; corpus volume and visual complexity are excluded.
SOFTWARE_READINESS,22,CAP-11,ORION Runtime and Gateway boundary,2,2,2,2,1,1,2,2:2:3:3:2:1:2,27,45,P3 — INTEGRATE_LATER,Scores are evidence-based; corpus volume and visual complexity are excluded.
SOFTWARE_READINESS,23,CAP-20,Builder Lab prototype and demo infrastructure,1,1,2,2,1,2,1,2:2:3:3:2:1:2,22,45,P4 — HOLD_AS_RESEARCH,Scores are evidence-based; corpus volume and visual complexity are excluded.
PUBLIC_VALUE,1,CAP-12,NEXAHEDRON bounded Human Workspace,3,3,3,3,3,3,3,3:2:1:1:2:3:2,42,42,P2 — VALIDATE_WITH_USER,Scores are evidence-based; corpus volume and visual complexity are excluded.
PUBLIC_VALUE,2,CAP-13,Curated reference cases,3,2,3,3,3,3,3,3:2:1:1:2:3:2,40,42,P2 — VALIDATE_WITH_USER,Scores are evidence-based; corpus volume and visual complexity are excluded.
PUBLIC_VALUE,3,CAP-14,NEXAH public Library and Living Atlas,3,2,3,3,3,3,3,3:2:1:1:2:3:2,40,42,P1 — EXPOSE_NOW,Scores are evidence-based; corpus volume and visual complexity are excluded.
PUBLIC_VALUE,4,CAP-04,"Provenance, manifest and release-pin verification",3,3,3,3,3,2,3,3:2:1:1:2:3:2,39,42,P1 — EXPOSE_NOW,Scores are evidence-based; corpus volume and visual complexity are excluded.
PUBLIC_VALUE,5,CAP-17,Science Lab execution and closure governance,3,3,3,3,3,2,3,3:2:1:1:2:3:2,39,42,P1 — EXPOSE_NOW,Scores are evidence-based; corpus volume and visual complexity are excluded.
PUBLIC_VALUE,6,CAP-02,ILAU sealed representation comparison,3,3,3,3,2,2,3,3:2:1:1:2:3:2,37,42,P3 — INTEGRATE_LATER,Scores are evidence-based; corpus volume and visual complexity are excluded.
PUBLIC_VALUE,7,CAP-05,Claim Ceiling and Human Authority gates,3,3,3,3,2,2,3,3:2:1:1:2:3:2,37,42,P1 — EXPOSE_NOW,Scores are evidence-based; corpus volume and visual complexity are excluded.
PUBLIC_VALUE,8,CAP-21,"Archive, custody and genealogy management",3,3,3,3,2,2,3,3:2:1:1:2:3:2,37,42,P1 — EXPOSE_NOW,Scores are evidence-based; corpus volume and visual complexity are excluded.
PUBLIC_VALUE,9,CAP-22,Orientation Translation and evidence synthesis,3,3,3,3,2,2,3,3:2:1:1:2:3:2,37,42,P2 — VALIDATE_WITH_USER,Scores are evidence-based; corpus volume and visual complexity are excluded.
PUBLIC_VALUE,10,CAP-08,Network Orientation CLI and briefs,3,2,2,3,2,3,3,3:2:1:1:2:3:2,37,42,P2 — VALIDATE_WITH_USER,Scores are evidence-based; corpus volume and visual complexity are excluded.
PUBLIC_VALUE,11,CAP-03,Residual and ReturnTest recording,3,3,2,3,2,2,3,3:2:1:1:2:3:2,36,42,P1 — EXPOSE_NOW,Scores are evidence-based; corpus volume and visual complexity are excluded.
PUBLIC_VALUE,12,CAP-10,ORION certified structural processing,3,3,2,3,2,2,3,3:2:1:1:2:3:2,36,42,P1 — EXPOSE_NOW,Scores are evidence-based; corpus volume and visual complexity are excluded.
PUBLIC_VALUE,13,CAP-01,Multi-view intake and frame declaration,3,3,1,2,2,2,3,3:2:1:1:2:3:2,34,42,P1 — EXPOSE_NOW,Scores are evidence-based; corpus volume and visual complexity are excluded.
PUBLIC_VALUE,14,CAP-06,Orientation Language Specification 1.0,2,3,1,3,3,2,3,3:2:1:1:2:3:2,34,42,P1 — EXPOSE_NOW,Scores are evidence-based; corpus volume and visual complexity are excluded.
PUBLIC_VALUE,15,CAP-07,NEXAH Kernel and source adapters,3,2,2,3,2,2,3,3:2:1:1:2:3:2,34,42,P1 — EXPOSE_NOW,Scores are evidence-based; corpus volume and visual complexity are excluded.
PUBLIC_VALUE,16,CAP-15,THE EYE sealed result projection,2,3,3,3,1,2,3,3:2:1:1:2:3:2,32,42,P3 — INTEGRATE_LATER,Scores are evidence-based; corpus volume and visual complexity are excluded.
PUBLIC_VALUE,17,CAP-18,Interactive HTML orientation instruments,2,2,2,2,2,3,2,3:2:1:1:2:3:2,31,42,P5 — CURATE_FOR_ARENA_OR_ATLAS,Scores are evidence-based; corpus volume and visual complexity are excluded.
PUBLIC_VALUE,18,CAP-19,Rödelheim and visual/operator research cartography,2,2,1,2,2,3,2,3:2:1:1:2:3:2,30,42,P5 — CURATE_FOR_ARENA_OR_ATLAS,Scores are evidence-based; corpus volume and visual complexity are excluded.
PUBLIC_VALUE,19,CAP-16,NRRC candidate contract validation,2,3,2,3,1,1,3,3:2:1:1:2:3:2,28,42,P3 — INTEGRATE_LATER,Scores are evidence-based; corpus volume and visual complexity are excluded.
PUBLIC_VALUE,20,CAP-23,Reproducible GLB visualization builders,2,2,2,2,2,2,2,3:2:1:1:2:3:2,28,42,P3 — INTEGRATE_LATER,Scores are evidence-based; corpus volume and visual complexity are excluded.
PUBLIC_VALUE,21,CAP-09,IEEE Geometry benchmark orientation,2,2,2,3,1,1,2,3:2:1:1:2:3:2,24,42,P4 — HOLD_AS_RESEARCH,Scores are evidence-based; corpus volume and visual complexity are excluded.
PUBLIC_VALUE,22,CAP-11,ORION Runtime and Gateway boundary,2,2,2,2,1,1,2,3:2:1:1:2:3:2,23,42,P3 — INTEGRATE_LATER,Scores are evidence-based; corpus volume and visual complexity are excluded.
PUBLIC_VALUE,23,CAP-20,Builder Lab prototype and demo infrastructure,1,1,2,2,1,2,1,3:2:1:1:2:3:2,19,42,P4 — HOLD_AS_RESEARCH,Scores are evidence-based; corpus volume and visual complexity are excluded.
RESEARCH_VALUE,1,CAP-12,NEXAHEDRON bounded Human Workspace,3,3,3,3,3,3,3,1:2:2:3:1:1:3,39,39,P2 — VALIDATE_WITH_USER,Scores are evidence-based; corpus volume and visual complexity are excluded.
RESEARCH_VALUE,2,CAP-04,"Provenance, manifest and release-pin verification",3,3,3,3,3,2,3,1:2:2:3:1:1:3,38,39,P1 — EXPOSE_NOW,Scores are evidence-based; corpus volume and visual complexity are excluded.
RESEARCH_VALUE,3,CAP-17,Science Lab execution and closure governance,3,3,3,3,3,2,3,1:2:2:3:1:1:3,38,39,P1 — EXPOSE_NOW,Scores are evidence-based; corpus volume and visual complexity are excluded.
RESEARCH_VALUE,4,CAP-02,ILAU sealed representation comparison,3,3,3,3,2,2,3,1:2:2:3:1:1:3,37,39,P3 — INTEGRATE_LATER,Scores are evidence-based; corpus volume and visual complexity are excluded.
RESEARCH_VALUE,5,CAP-05,Claim Ceiling and Human Authority gates,3,3,3,3,2,2,3,1:2:2:3:1:1:3,37,39,P1 — EXPOSE_NOW,Scores are evidence-based; corpus volume and visual complexity are excluded.
RESEARCH_VALUE,6,CAP-21,"Archive, custody and genealogy management",3,3,3,3,2,2,3,1:2:2:3:1:1:3,37,39,P1 — EXPOSE_NOW,Scores are evidence-based; corpus volume and visual complexity are excluded.
RESEARCH_VALUE,7,CAP-22,Orientation Translation and evidence synthesis,3,3,3,3,2,2,3,1:2:2:3:1:1:3,37,39,P2 — VALIDATE_WITH_USER,Scores are evidence-based; corpus volume and visual complexity are excluded.
RESEARCH_VALUE,8,CAP-13,Curated reference cases,3,2,3,3,3,3,3,1:2:2:3:1:1:3,37,39,P2 — VALIDATE_WITH_USER,Scores are evidence-based; corpus volume and visual complexity are excluded.
RESEARCH_VALUE,9,CAP-14,NEXAH public Library and Living Atlas,3,2,3,3,3,3,3,1:2:2:3:1:1:3,37,39,P1 — EXPOSE_NOW,Scores are evidence-based; corpus volume and visual complexity are excluded.
RESEARCH_VALUE,10,CAP-03,Residual and ReturnTest recording,3,3,2,3,2,2,3,1:2:2:3:1:1:3,35,39,P1 — EXPOSE_NOW,Scores are evidence-based; corpus volume and visual complexity are excluded.
RESEARCH_VALUE,11,CAP-10,ORION certified structural processing,3,3,2,3,2,2,3,1:2:2:3:1:1:3,35,39,P1 — EXPOSE_NOW,Scores are evidence-based; corpus volume and visual complexity are excluded.
RESEARCH_VALUE,12,CAP-15,THE EYE sealed result projection,2,3,3,3,1,2,3,1:2:2:3:1:1:3,35,39,P3 — INTEGRATE_LATER,Scores are evidence-based; corpus volume and visual complexity are excluded.
RESEARCH_VALUE,13,CAP-08,Network Orientation CLI and briefs,3,2,2,3,2,3,3,1:2:2:3:1:1:3,34,39,P2 — VALIDATE_WITH_USER,Scores are evidence-based; corpus volume and visual complexity are excluded.
RESEARCH_VALUE,14,CAP-06,Orientation Language Specification 1.0,2,3,1,3,3,2,3,1:2:2:3:1:1:3,33,39,P1 — EXPOSE_NOW,Scores are evidence-based; corpus volume and visual complexity are excluded.
RESEARCH_VALUE,15,CAP-07,NEXAH Kernel and source adapters,3,2,2,3,2,2,3,1:2:2:3:1:1:3,33,39,P1 — EXPOSE_NOW,Scores are evidence-based; corpus volume and visual complexity are excluded.
RESEARCH_VALUE,16,CAP-16,NRRC candidate contract validation,2,3,2,3,1,1,3,1:2:2:3:1:1:3,32,39,P3 — INTEGRATE_LATER,Scores are evidence-based; corpus volume and visual complexity are excluded.
RESEARCH_VALUE,17,CAP-01,Multi-view intake and frame declaration,3,3,1,2,2,2,3,1:2:2:3:1:1:3,30,39,P1 — EXPOSE_NOW,Scores are evidence-based; corpus volume and visual complexity are excluded.
RESEARCH_VALUE,18,CAP-18,Interactive HTML orientation instruments,2,2,2,2,2,3,2,1:2:2:3:1:1:3,27,39,P5 — CURATE_FOR_ARENA_OR_ATLAS,Scores are evidence-based; corpus volume and visual complexity are excluded.
RESEARCH_VALUE,19,CAP-09,IEEE Geometry benchmark orientation,2,2,2,3,1,1,2,1:2:2:3:1:1:3,27,39,P4 — HOLD_AS_RESEARCH,Scores are evidence-based; corpus volume and visual complexity are excluded.
RESEARCH_VALUE,20,CAP-23,Reproducible GLB visualization builders,2,2,2,2,2,2,2,1:2:2:3:1:1:3,26,39,P3 — INTEGRATE_LATER,Scores are evidence-based; corpus volume and visual complexity are excluded.
RESEARCH_VALUE,21,CAP-19,Rödelheim and visual/operator research cartography,2,2,1,2,2,3,2,1:2:2:3:1:1:3,25,39,P5 — CURATE_FOR_ARENA_OR_ATLAS,Scores are evidence-based; corpus volume and visual complexity are excluded.
RESEARCH_VALUE,22,CAP-11,ORION Runtime and Gateway boundary,2,2,2,2,1,1,2,1:2:2:3:1:1:3,24,39,P3 — INTEGRATE_LATER,Scores are evidence-based; corpus volume and visual complexity are excluded.
RESEARCH_VALUE,23,CAP-20,Builder Lab prototype and demo infrastructure,1,1,2,2,1,2,1,1:2:2:3:1:1:3,19,39,P4 — HOLD_AS_RESEARCH,Scores are evidence-based; corpus volume and visual complexity are excluded.
