capability_id,name,plain_language_purpose,primary_user,user_problem,input,transformation,output,human_role,nexah_stage,current_location,entry_point,supporting_artifacts,implementation_status,test_status,integration_status,public_access_status,evidence_strength,known_limitations,primary_residual,distinctive_value,dependency,overlap_or_duplicate,recommended_home,priority,recommended_action
CAP-11,"ORION Runtime and Gateway boundary","Translate confirmed requests into validated public outcomes in bounded environments","Integration developer","A consumer needs a controlled execution boundary around ORION contracts","OrientationRequest and dependency-pinned runtime context","Historical/separately governed Runtime, Gateway and provider execution","Clarification, report, runtime error or boundary diagnostic","Confirm request and decide after returned outcome","RECEIVE|ORIENT|PRESERVE","NEXAH-ORION historical paths and NEXAHEDRON integration","Local dev commands; no general current public endpoint claim","Runtime/Gateway modules; integration docs/tests; roadmap","EXECUTABLE_BUT_OUTSIDE_CERTIFIED_CORE","Historical and real Gateway integration evidence; current scope conflicts remain","PARTIAL_SEPARATELY_GOVERNED","NOT_RELIABLY_PUBLIC_AS_MACHINE_SERVICE","MODERATE","Not certified Core; clarification/evidence and production ownership gaps","Current certified/public role separation is easy to overclaim","Fail-closed public contracts distinguish transport, runtime and lifecycle failures","Pinned ORION checkout and service configuration","May be confused with CAP-10 certified Core; must remain separate","ORION separately governed runtime boundary","MEDIUM","P3 — INTEGRATE_LATER"
CAP-12,"NEXAHEDRON bounded Human Workspace","Guide one Human question and material through relations, boundaries, reflection and Rest","Public visitor","A person needs an inspectable process without surrendering judgment","Human-authored question, material, attention, relation, boundary and uncertainty","Browser-local guided sequence with explicit confirmation and Rest","Transient Working Session Record and optional boundary preparation","Own intention, meaning, confirmation, reflection and stop/continue","RECEIVE|ORIENT|PRESERVE|DECIDE","NEXAHEDRON app and features","https://nexahedron.com and /orient","Version 1 source release; deployed Phase II pages; local test evidence","PUBLIC_DEPLOYED_BOUNDED_FEATURE","Historical release verification plus current live route checks","INTEGRATED_PUBLIC_PRESENTATION","PUBLICLY_USABLE","STRONG","Memory-only; no accounts, upload, durable record or full comparison; external evaluation absent","No seamless route from session material to tested comparator","Keeps the complete current session visibly Human-owned","Browser and NEXAHEDRON deployment","Overlaps CAP-01 and CAP-05 but is the public interaction product","NEXAHEDRON","VERY_HIGH","P2 — VALIDATE_WITH_USER"
CAP-13,"Curated reference cases","Show bounded examples of evidence, maps, models, scale and plate tectonics","Public visitor or learner","A new user needs concrete examples before using abstract vocabulary","Human/editorial-authored case material","Structured explanatory presentation and guided perspective changes","Readable case page with sources, boundaries and questions","Interpret the case and choose a next path","ORIENT|DECIDE","NEXAHEDRON cases and library features","https://nexahedron.com/library and /cases/*","Five case routes; library data; public tests; live pages","PUBLIC_DEPLOYED_BOUNDED_FEATURE","Local route tests and current live HTTP evidence","INTEGRATED_WITH_PUBLIC_NEXAHEDRON","PUBLICLY_USABLE","STRONG","Not ORION output or scientific validation; limited user-effect evidence","Whether cases improve orientation is untested externally","Makes abstract boundaries understandable through declared editorial examples","NEXAHEDRON presentation and editorial sources","Overlaps NEXAH public Library but has a smaller demonstrator role","NEXAHEDRON public reference library","HIGH","P2 — VALIDATE_WITH_USER"
CAP-14,"NEXAH public Library and Living Atlas","Make publications and curated relationships publicly navigable","General public, reader or researcher","A large body of work is otherwise undiscoverable","Publication registry, reading selections and curated editorial relations","Static catalog, fixed entrances and registered editorial links","Public catalog, Reading Spaces, concepts, operators and paths","Choose a work and interpret editorial relationships","RECEIVE|ORIENT|DECIDE","NEXAH Experience/public site and NEXAH Library registry","https://nexah.de/library/ and /atlas/","Public site; 61-record catalog; Library registry; Atlas pages","PUBLIC_DEPLOYED_BOUNDED_FEATURE","Public build/source records and current live pages","INTEGRATED_PUBLIC_EDITORIAL_CAPABILITY","PUBLICLY_USABLE","STRONG","Editorial not scientific authority; deployed source revision may be separate from framework repository","Weak bridge from a publication to an executable capability","Curated relations remain explicit rather than inferred by a recommender","Library registry and Experience site","Overlaps CAP-13 at public reference level; different authority/home","NEXAH public Experience and Library","VERY_HIGH","P1 — EXPOSE_NOW"
CAP-15,"THE EYE sealed result projection","Present six verified structural comparison outcomes without changing canonical records","Internal reviewer and future public learner","Machine comparison results are difficult to inspect without boundary loss","Allowlisted sealed demonstration identifier","Load verified package, preserve exact result fields, display ILAU/residual/provenance and separate Human controls","Guided result view and exact exports","Interpret; STOP or continue separately; no automatic approval","COMPARE|PRESERVE|DECIDE","NEXAHEDRON features/the-eye and A5/A6 review packages","Local/private modes only; public /the-eye is 404","Six-demo catalog; curated manifest; A6/A6.1 documentation","INTEGRATED_INTERNAL_CAPABILITY","A5/A6 parity, isolation, privacy and negative controls recorded","INTEGRATED_IN_SOURCE_NOT_CURRENT_PUBLIC_ROUTE","NOT_PUBLIC","STRONG","Six fixed demos; working-tree changes; no public route or external comprehension evidence","Adoption and public routing gap","Consumer cannot silently become comparator or record owner","CAP-02 A2 results and curated package","Presentation side of CAP-02, not a second comparator","THE EYE within NEXAHEDRON after separate gate","VERY_HIGH","P3 — INTEGRATE_LATER"
CAP-16,"NRRC candidate contract validation","Validate a processor-neutral relation record with 14 typed objects","Contract developer and future processor/display owners","Complete trace/audit/residual/return data lack a neutral shared record","NRRC 0.1-candidate JSON record","Strict standard-library validation, identity/reference checks and canonical hash verification","Accepted candidate record or explicit rejection","Govern contract authority, release and claim use","RECEIVE|COMPARE|PRESERVE","Science Lab NRRC P4A local staging","python3 validator/nrrc_validate.py against local fixtures","Schema; validator; 1 positive and 15 negative fixtures; 10 tests","EXECUTABLE_TESTED_LOCAL_CANDIDATE","10 passed; 15 negative fixtures rejected; deterministic clean runs","STANDALONE_LOCAL_NOT_PRODUCTION","NOT_PUBLIC","STRONG_FOR_FORMAT_ONLY","Five acknowledgements pending; canonical repo, cross-language, security/privacy and production release unresolved","No approved cross-repository adoption or runtime/view implementation","Separates neutral record ownership from processor and display consumers","ODR mandate and local P4A package","Overlaps CAP-03 record fields; supplies candidate neutral carrier","Future independent NRRC repository after Owner gate","HIGH","P3 — INTEGRATE_LATER"
CAP-17,"Science Lab execution and closure governance","Run bounded research with preregistration, controls, residuals, replay and explicit closure","Research operator, reviewer and Owner","Exploration otherwise loses scope, negative results and authority","Authorized protocol, sealed inputs, controls and claim boundary","Local execution/replay, independent review, manifests and decision gates","Evidence package, failure/hold/pass decision and reopen condition","Authorize start, interpret, close and reopen","RECEIVE|ORIENT|COMPARE|PRESERVE|DECIDE","NEXAH Science Lab and Mission Control Desk","00_LAB_ENTRY, package READMEs and public Lab register","Closed cases; registered evidence chains; manifests; desk records","INTEGRATED_INTERNAL_CAPABILITY","Many bounded executions and independent reviews; no new test here","INTEGRATED_RESEARCH_WORKFLOW","PUBLIC_SUMMARIES_PARTIAL","STRONG","High navigation density; heterogeneous historical quality; no active research cycle","External reader cannot easily locate current strongest evidence","Preserves failure, negative controls, provenance, authority and STOP","Owner authorization and package-specific environment","Cross-cutting workflow; not a single scientific claim","Science Lab with compact public register","VERY_HIGH","P1 — EXPOSE_NOW"
CAP-18,"Interactive HTML orientation instruments","Make view, cut, observer, movement and return ideas manipulable","Research visitor or interface designer","Static diagrams do not show how a view changes under control","Prebuilt HTML state and sliders/buttons","Client-side SVG/JavaScript transformation","Interactive visual state and labels","Choose controls and avoid treating display as evidence","ORIENT|COMPARE","Science Lab HTML series; OEIS LOGIK; Rödelheim","Direct local HTML files; limited current navigation","13-file HTML series; 28 OEIS HTML; 13 Rödelheim HTML","INTERACTIVE_DEMONSTRATOR","Technical open/render checks recorded for selected families","DISCONNECTED_AND_FAMILY_SPECIFIC","MOSTLY_NOT_PUBLIC","MODERATE","External dependencies, missing footers/sources, heterogeneous outputs and no common contract","No maintained index or explicit user/result action","Useful for revealing projection and observer effects","Browser; sometimes unpkg UI libraries","Many variants and screenshot/export duplicates","Observatory with selected Arena entries","MEDIUM","P5 — CURATE_FOR_ARENA_OR_ATLAS"
CAP-19,"Rödelheim and visual/operator research cartography","Explain observer, coordinate, rhythm, rope, seam, neon and other relational ideas visually","Research/editorial audience","Complex relations need visual orientation before formal work","Declared visual thesis, source data or conceptual frame","Diagrammatic synthesis, sometimes calculated visualization","Plate, SVG/PNG, score or bounded visual sequence","Classify measured, informed, explanatory or interpretive status","ORIENT|PRESERVE","Rödelheim bundle; OEIS LOGIK; Atlas/Field Art material","Indexes and individual visual files","Rödelheim INDEX; ILAU intake; visual ledgers","STATIC_VISUAL_AND_SOME_REPRODUCIBLE_INSTRUMENTS","Selected calculated and negative-result sidecars; most visuals not tests","CURATED_FAMILIES_NOT_ONE_CAPABILITY","PARTIAL_THROUGH_NEXAH_PUBLIC_ATLAS","MODERATE","Visual resemblance, color and mnemonic language cannot establish ontology","Status and destination vary by artifact","Strong visual genealogy with explicit nonclaim vocabulary","Source indexes and Human curation","Overlaps CAP-18; includes static and calculated plates","Atlas/Arena/Observatory by status","MEDIUM","P5 — CURATE_FOR_ARENA_OR_ATLAS"
CAP-20,"Builder Lab prototype and demo infrastructure","Generate and display experimental systems, graphs and visual mechanisms","Developer or research prototyper","Ideas need quick executable demonstrations","Synthetic JSON systems and prototype parameters","Python graph/dynamics/visualization scripts and toy controllers","Demo output, images, animations and prototype diagnostics","Select what is worth reproducing; reject overclaims","RECEIVE|ORIENT|COMPARE","NEXAH EXPERIMENTAL/BUILDER_LAB","One minimal demo and CLI systems-list; suite runner is blocked","Builder inventory; operator demonstrator audit; ~2300-file corpus","PARTLY_EXECUTABLE_PROTOTYPE","One demo/CLI historically verified; several dependencies and paths broken","DISCONNECTED_EXPERIMENTAL_LAB","NOT_PUBLIC","MODERATE","Archive-heavy; undeclared dependencies; stale tests; toy models; no common output contract","No maintained Lab Runner for the whole corpus","Rapid mechanism prototyping and visual exploration only","Python ecosystem and optional networkx/imageio/cartopy","Large duplicate/superseded historical overlap","Observatory for selected demos; Archive for bulk","LOW","P4 — HOLD_AS_RESEARCH"
CAP-21,"Archive, custody and genealogy management","Preserve source identity, duplicates, derivatives, roles and reopen gates","Owner, Desk and archive steward","Historical material becomes either lost or incorrectly active","Files, hashes, manifests, role ledgers and decisions","Inventory, deduplication-by-reference, custody routing and status compression","Source ledger, genealogy, archive/hold route and manifest","Authorize custody and any later reopen","RECEIVE|PRESERVE|DECIDE","Mission Control, Science Lab and incoming intake packages","Desk records and package indexes; no single searchable tool","Desk 10 audits; ILAU intake; case-study ledgers; manifests","INTEGRATED_INTERNAL_CAPABILITY","Repeated source-freeze and custody verification","INTEGRATED_INTERNAL_MANUAL_WORKFLOW","PUBLIC_SUMMARIES_PARTIAL","STRONG","Manual, path-heavy and dependent on expert status interpretation","No capability-centric searchable register","Retains competing representations without deleting history or promoting them","Filesystem custody and Human authority","Overlaps CAP-04 hashing but owns roles and lifecycle","Mission Control plus Archive indexes","HIGH","P1 — EXPOSE_NOW"
CAP-22,"Orientation Translation and evidence synthesis","Create source-bound reader modes, comparisons, reports and traceability","Researcher, editor or educator","One source representation may not serve every reader or question","Frozen source, declared audience/purpose and transformation rules","Manual or scripted bounded translation, comparison and evidence synthesis","Baseline, Reader/Explain Mode, traceability and bounded report","Approve wording, claim ceiling and research use","RECEIVE|ORIENT|COMPARE|PRESERVE|DECIDE","NEXAH Applications/orientation_translation and Science Lab reviews","Repository packets; no current public application route","Three complete sequences; Photosynthesis packet; translation-fidelity studies","INTEGRATED_INTERNAL_RESEARCH_CAPABILITY","Internal audits, replications and RC1 reproducibility records","INTEGRATED_IN_RESEARCH_NOT_PUBLIC_PRODUCT","PUBLIC_DOCUMENTS_PARTIAL","STRONG","Mostly single-analyst and narrow sources; reader effect and domain review absent","No external usefulness result","Separates source facts from representation choices and lost/added content","Frozen sources, human editorial work and audit protocols","Overlaps report writing generally; distinctive only when traceability is complete","NEXAH Applications/Research","HIGH","P2 — VALIDATE_WITH_USER"
CAP-23,"Reproducible GLB visualization builders","Regenerate declared 3D visual mechanisms from source builders","3D developer or visual research operator","A GLB artifact without builder provenance cannot be audited or reproduced","Versioned builder scripts, parameters and reference GLBs","Deterministic Three.js/Node generation and structural comparison","Regenerated GLBs, snapshots and verification records","Decide whether the model is explanatory, artistic or testable","RECEIVE|PRESERVE","Desk X incoming Clockwork packages","Local generate_all.mjs and package README; not registered in product","Reproducible generator package; intake and parity reports","EXECUTABLE_TESTED_STANDALONE","Recorded deterministic regeneration and structural verification","DISCONNECTED_LOCAL_INCOMING_CAPABILITY","NOT_PUBLIC","MODERATE","Incoming custody; no product navigation; visual structures do not prove ontology","No authoritative active home or user-facing entry","Preserves source-to-3D reproducibility instead of treating a model file as evidence","Node/Three tooling and local source package","Overlaps Builder Lab visuals but has stronger builder provenance","Observatory or registered visual-builder archive","MEDIUM","P3 — INTEGRATE_LATER"

