source_id,system,location,artifact_type,role,authority,evidence_use,sha256,observed_state,limitations
SRC-011,NEXAH CORE / OLS / KERNEL,/Users/tho2020/Documents/NEXAH ECOSYSTEM/10 NEXAH CORE/NEXAH/ORIENTATION_LANGUAGE/SPECIFICATION/RELEASES/OLS-RELEASE-1.0.0/RELEASE_MANIFEST.md,MD,structured evidence register,SOURCE_DOCUMENTATION,framework; OLS; Kernel; validation evidence,90cc8d6579eb3e4ff3d2d48747886d0fe952810699208790e2622a77a0a83c0f,PRESENT_AND_READABLE,Documentary evidence only; no source mutation; maturity is not inferred from file count.
SRC-012,NEXAH CORE / OLS / KERNEL,/Users/tho2020/Documents/NEXAH ECOSYSTEM/10 NEXAH CORE/NEXAH/ORIENTATION_LANGUAGE/SPECIFICATION/RELEASES/OLS-RELEASE-1.0.0/PUBLICATION_SUMMARY.md,MD,documentary evidence,SOURCE_DOCUMENTATION,framework; OLS; Kernel; validation evidence,92e111d16add8955ff1f784030b2c4df908f6acb713eaf65fc39aea566d35831,PRESENT_AND_READABLE,Documentary evidence only; no source mutation; maturity is not inferred from file count.
SRC-013,NEXAH CORE / OLS / KERNEL,/Users/tho2020/Documents/NEXAH ECOSYSTEM/10 NEXAH CORE/NEXAH/pyproject.toml,TOML,machine-readable configuration or record,SOURCE_DOCUMENTATION,framework; OLS; Kernel; validation evidence,8729c883484f8560eb9f2e602bcbad3e1d8167db7ca481cd5e9931abb76a4796,PRESENT_AND_READABLE,Documentary evidence only; no source mutation; maturity is not inferred from file count.
SRC-014,NEXAH CORE / OLS / KERNEL,/Users/tho2020/Documents/NEXAH ECOSYSTEM/10 NEXAH CORE/NEXAH/nexah/cli.py,PY,implementation evidence,IMPLEMENTATION_EVIDENCE,framework; OLS; Kernel; validation evidence,45135f15fe27930e6c16628f0e2a0bd749c2063224b4dd9d035f41038b6494d3,PRESENT_AND_READABLE,Documentary evidence only; no source mutation; maturity is not inferred from file count.
SRC-015,NEXAH CORE / OLS / KERNEL,/Users/tho2020/Documents/NEXAH ECOSYSTEM/10 NEXAH CORE/NEXAH/APPLICATIONS/README.md,MD,system or package orientation,SOURCE_DOCUMENTATION,framework; OLS; Kernel; validation evidence,b435f053dea1ab560b97e741eddf8cc75b29abfdc548a862c0014c27379c3ca5,PRESENT_AND_READABLE,Documentary evidence only; no source mutation; maturity is not inferred from file count.
SRC-016,NEXAH CORE / OLS / KERNEL,/Users/tho2020/Documents/NEXAH ECOSYSTEM/10 NEXAH CORE/NEXAH/validation/network_orientation_v2/README.md,MD,system or package orientation,SOURCE_DOCUMENTATION,framework; OLS; Kernel; validation evidence,b8a032413c3945b452dacb79aec063e0ab33afb6bafcb325762430b38402cd39,PRESENT_AND_READABLE,Documentary evidence only; no source mutation; maturity is not inferred from file count.
SRC-017,NEXAH CORE / OLS / KERNEL,/Users/tho2020/Documents/NEXAH ECOSYSTEM/10 NEXAH CORE/NEXAH/validation/ieee_geometry_v1/VALIDATION_RECORD.md,MD,verification or assessment evidence,SOURCE_DOCUMENTATION,framework; OLS; Kernel; validation evidence,a3af5a8478d71bdf3c46ddfa8dd117920df132404805d70413447c1030a90bfb,PRESENT_AND_READABLE,Documentary evidence only; no source mutation; maturity is not inferred from file count.
SRC-018,NEXAH CORE / OLS / KERNEL,/Users/tho2020/Documents/NEXAH ECOSYSTEM/10 NEXAH CORE/NEXAH/LIBRARY/README.md,MD,system or package orientation,SOURCE_DOCUMENTATION,framework; OLS; Kernel; validation evidence,b0fc17687e349ab2c19486f9c6ffc6f26a657306c1c9524f2f5a77f9ded14466,PRESENT_AND_READABLE,Documentary evidence only; no source mutation; maturity is not inferred from file count.
SRC-019,NEXAH CORE / OLS / KERNEL,/Users/tho2020/Documents/NEXAH ECOSYSTEM/10 NEXAH CORE/NEXAH/GOVERNANCE/README.md,MD,system or package orientation,SOURCE_DOCUMENTATION,framework; OLS; Kernel; validation evidence,b859979b9456419b7d296b7c62db26e710546f9d10d88f4fee33c1a92f28dea1,PRESENT_AND_READABLE,Documentary evidence only; no source mutation; maturity is not inferred from file count.
SRC-020,NEXAH CORE / OLS / KERNEL,/Users/tho2020/Documents/NEXAH ECOSYSTEM/10 NEXAH CORE/NEXAH/APPLICATIONS/orientation_translation/comparisons/photosynthesis_cellular_respiration_01/COMPARISON_REPORT.md,MD,verification or assessment evidence,SOURCE_DOCUMENTATION,framework; OLS; Kernel; validation evidence,ebdaa9f73d40184949c051c735ad30e30a2b4d4a7d1adedbc33b0eef6cde75c1,PRESENT_AND_READABLE,Documentary evidence only; no source mutation; maturity is not inferred from file count.
SRC-021,NEXAH CORE / OLS / KERNEL,/Users/tho2020/Documents/NEXAH ECOSYSTEM/10 NEXAH CORE/NEXAH/EXPERIMENTAL/BUILDER_LAB/BUILDER_LAB_INVENTORY_INDEX.md,MD,system or package orientation,SOURCE_DOCUMENTATION,framework; OLS; Kernel; validation evidence,f57988b9121049c810cab1cc9a6ca7594e3543d97ae0a2142c69ff5f39d17e37,PRESENT_AND_READABLE,Documentary evidence only; no source mutation; maturity is not inferred from file count.
SRC-022,NEXAH CORE / OLS / KERNEL,/Users/tho2020/Documents/NEXAH ECOSYSTEM/10 NEXAH CORE/NEXAH/EXPERIMENTAL/BUILDER_LAB/run_builder_lab.py,PY,implementation evidence,IMPLEMENTATION_EVIDENCE,framework; OLS; Kernel; validation evidence,be39a303c680c5a33fdd14390a931a3287d4c8cbf4c0aaef776d9cf89b0444f2,PRESENT_AND_READABLE,Documentary evidence only; no source mutation; maturity is not inferred from file count.
SRC-023,NEXAH CORE / OLS / KERNEL,/Users/tho2020/Documents/NEXAH ECOSYSTEM/10 NEXAH CORE/NEXAH/EXPERIMENTAL/BUILDER_LAB/legacy/root_outputs_2026-07-18/archive/root_cleanup/btc_result.json,JSON,machine-readable configuration or record,SOURCE_DOCUMENTATION,framework; OLS; Kernel; validation evidence,6f12d3ffcf09c3f1d393cfbe93992d3d57fd142bb073cd39c53f513e49e6eb6b,PRESENT_AND_READABLE,Documentary evidence only; no source mutation; maturity is not inferred from file count.
SRC-024,ORION,/Users/tho2020/Documents/NEXAH ECOSYSTEM/20 ORION/NEXAH-ORION/README.md,MD,system or package orientation,SOURCE_DOCUMENTATION,structural core maturity; implementation boundary,f979e9f79ad86304da12a81bb511166fdf3015540d88a71b7b9c11b8ba6f28c4,PRESENT_AND_READABLE,Documentary evidence only; no source mutation; maturity is not inferred from file count.
SRC-025,ORION,/Users/tho2020/Documents/NEXAH ECOSYSTEM/20 ORION/NEXAH-ORION/pyproject.toml,TOML,machine-readable configuration or record,SOURCE_DOCUMENTATION,structural core maturity; implementation boundary,de841d05937367ad4e5f2b1bb0f54f43c0d5392c08565d610f96114dbd8edf84,PRESENT_AND_READABLE,Documentary evidence only; no source mutation; maturity is not inferred from file count.
SRC-026,ORION,/Users/tho2020/Documents/NEXAH ECOSYSTEM/20 ORION/NEXAH-ORION/docs/releases/ORION_V1_CERTIFIED_BASELINE.md,MD,documentary evidence,SOURCE_DOCUMENTATION,structural core maturity; implementation boundary,9c6ec24124818abe8a4a76788bb15ab11cc1030eacd64895e1516bc239b42802,PRESENT_AND_READABLE,Documentary evidence only; no source mutation; maturity is not inferred from file count.
SRC-027,ORION,/Users/tho2020/Documents/NEXAH ECOSYSTEM/20 ORION/NEXAH-ORION/src/README.md,MD,system or package orientation,SOURCE_DOCUMENTATION,structural core maturity; implementation boundary,70805875705937fe6826085c59821dc880322bc18fb595a2e79066aeda69089d,PRESENT_AND_READABLE,Documentary evidence only; no source mutation; maturity is not inferred from file count.
SRC-028,ORION,/Users/tho2020/Documents/NEXAH ECOSYSTEM/20 ORION/NEXAH-ORION/tests/README.md,MD,system or package orientation,SOURCE_DOCUMENTATION,structural core maturity; implementation boundary,6126b6872125920c05301cee0ed15d0090f7a85d675f691dbcac3b846e07496a,PRESENT_AND_READABLE,Documentary evidence only; no source mutation; maturity is not inferred from file count.
SRC-029,ORION,/Users/tho2020/Documents/NEXAH ECOSYSTEM/20 ORION/NEXAH-ORION/docs/reviews/ORION_RUNTIME_RELEASE_DECISION.md,MD,governance or bounded decision evidence,GOVERNANCE_EVIDENCE,structural core maturity; implementation boundary,8ffb7f7fd4e088f229aff00a783aac908e5a638d5a6fd33a7a5e403528cc8d1f,PRESENT_AND_READABLE,Documentary evidence only; no source mutation; maturity is not inferred from file count.
SRC-030,ORION,/Users/tho2020/Documents/NEXAH ECOSYSTEM/20 ORION/NEXAH-ORION/docs/architecture/README.md,MD,system or package orientation,SOURCE_DOCUMENTATION,structural core maturity; implementation boundary,fea4705ee66d6df89df4b0f1fe43014b2be89ae4429d7253a895e3f60fb6d6a1,PRESENT_AND_READABLE,Documentary evidence only; no source mutation; maturity is not inferred from file count.
SRC-031,ORION,/Users/tho2020/Documents/NEXAH ECOSYSTEM/20 ORION/NEXAH-ORION/workspace.yaml,YAML,machine-readable configuration or record,SOURCE_DOCUMENTATION,structural core maturity; implementation boundary,20307f55be6214913e34c5cc9c31a6e6dde67927978b722e14d346bb4d7851c5,PRESENT_AND_READABLE,Documentary evidence only; no source mutation; maturity is not inferred from file count.
SRC-032,NEXAHEDRON / THE EYE,/Users/tho2020/Documents/NEXAH ECOSYSTEM/40 EXPERIENCE PRODUCTION/NEXAHEDRON/README.md,MD,system or package orientation,SOURCE_DOCUMENTATION,software reality; usability; public entry points,2bd94e469584e1acf0006e778ee5bd1960ea2c148b00d762d2bafffac026f6af,PRESENT_AND_READABLE,Documentary evidence only; no source mutation; maturity is not inferred from file count.
SRC-033,NEXAHEDRON / THE EYE,/Users/tho2020/Documents/NEXAH ECOSYSTEM/40 EXPERIENCE PRODUCTION/NEXAHEDRON/package.json,JSON,machine-readable configuration or record,SOURCE_DOCUMENTATION,software reality; usability; public entry points,9a97fbffaca5c84375c43b8085d7f856947d3d7d830623045f75eaa5cf601cfd,PRESENT_AND_READABLE,Documentary evidence only; no source mutation; maturity is not inferred from file count.
SRC-034,NEXAHEDRON / THE EYE,/Users/tho2020/Documents/NEXAH ECOSYSTEM/40 EXPERIENCE PRODUCTION/NEXAHEDRON/.openai/hosting.json,JSON,machine-readable configuration or record,SOURCE_DOCUMENTATION,software reality; usability; public entry points,5d1a1499ebcaf14dc15b56468a1c28f36e94547aa934e93e95cb62b2fd06453b,PRESENT_AND_READABLE,Documentary evidence only; no source mutation; maturity is not inferred from file count.
SRC-035,NEXAHEDRON / THE EYE,/Users/tho2020/Documents/NEXAH ECOSYSTEM/40 EXPERIENCE PRODUCTION/NEXAHEDRON/lib/routes.ts,TS,implementation evidence,IMPLEMENTATION_EVIDENCE,software reality; usability; public entry points,d6e6746c01175f148bdd7663d5061f2ffa538af9a82ddf13bac3b7d509414a53,PRESENT_AND_READABLE,Documentary evidence only; no source mutation; maturity is not inferred from file count.
SRC-036,NEXAHEDRON / THE EYE,/Users/tho2020/Documents/NEXAH ECOSYSTEM/40 EXPERIENCE PRODUCTION/NEXAHEDRON/app/page.tsx,TSX,implementation evidence,IMPLEMENTATION_EVIDENCE,software reality; usability; public entry points,39b5097e15525377c7c6cfbeda5fecf6a932ff3a6c3cc69533629ee62ff04b6d,PRESENT_AND_READABLE,Documentary evidence only; no source mutation; maturity is not inferred from file count.
SRC-037,NEXAHEDRON / THE EYE,/Users/tho2020/Documents/NEXAH ECOSYSTEM/40 EXPERIENCE PRODUCTION/NEXAHEDRON/app/orient/page.tsx,TSX,implementation evidence,IMPLEMENTATION_EVIDENCE,software reality; usability; public entry points,f3ca453b29ba47e04e36c32200f84b5f8a447d142999973f2585fd18a93e1c77,PRESENT_AND_READABLE,Documentary evidence only; no source mutation; maturity is not inferred from file count.
SRC-038,NEXAHEDRON / THE EYE,/Users/tho2020/Documents/NEXAH ECOSYSTEM/40 EXPERIENCE PRODUCTION/NEXAHEDRON/app/visitor-guide/page.tsx,TSX,implementation evidence,IMPLEMENTATION_EVIDENCE,software reality; usability; public entry points,d34ee99424405e7ed81d9995dc89589536c944be73c56d2aeaecf35fedb39b61,PRESENT_AND_READABLE,Documentary evidence only; no source mutation; maturity is not inferred from file count.
SRC-039,NEXAHEDRON / THE EYE,/Users/tho2020/Documents/NEXAH ECOSYSTEM/40 EXPERIENCE PRODUCTION/NEXAHEDRON/app/library/page.tsx,TSX,implementation evidence,IMPLEMENTATION_EVIDENCE,software reality; usability; public entry points,b927b285f7452c7f2b0631695ce4667bb99e26ec3e6947605ed0d62032468efc,PRESENT_AND_READABLE,Documentary evidence only; no source mutation; maturity is not inferred from file count.
SRC-040,NEXAHEDRON / THE EYE,/Users/tho2020/Documents/NEXAH ECOSYSTEM/40 EXPERIENCE PRODUCTION/NEXAHEDRON/app/cases/page.tsx,TSX,implementation evidence,IMPLEMENTATION_EVIDENCE,software reality; usability; public entry points,d8268b08f24d53f87392836112917c194ae5b5478dec8a52f2f2503435a70216,PRESENT_AND_READABLE,Documentary evidence only; no source mutation; maturity is not inferred from file count.
SRC-041,NEXAHEDRON / THE EYE,/Users/tho2020/Documents/NEXAH ECOSYSTEM/40 EXPERIENCE PRODUCTION/NEXAHEDRON/app/the-eye/page.tsx,TSX,implementation evidence,IMPLEMENTATION_EVIDENCE,software reality; usability; public entry points,6c90f2f56c5142a17adb02eaf95a12d6b38d7e87b80538a1b0e8264995dd44df,PRESENT_AND_READABLE,Documentary evidence only; no source mutation; maturity is not inferred from file count.
SRC-042,NEXAHEDRON / THE EYE,/Users/tho2020/Documents/NEXAH ECOSYSTEM/40 EXPERIENCE PRODUCTION/NEXAHEDRON/features/the-eye/catalog.ts,TS,implementation evidence,IMPLEMENTATION_EVIDENCE,software reality; usability; public entry points,28a2dc9b43aba586dfcb1825a916ea2f6c54b0cb9abdaa6e43ff05f04b7a875e,PRESENT_AND_READABLE,Documentary evidence only; no source mutation; maturity is not inferred from file count.
SRC-043,NEXAHEDRON / THE EYE,/Users/tho2020/Documents/NEXAH ECOSYSTEM/40 EXPERIENCE PRODUCTION/NEXAHEDRON/features/the-eye/curated/manifest.json,JSON,structured evidence register,SOURCE_DOCUMENTATION,software reality; usability; public entry points,2fc0a0cafbc59376b09f98036c2165d8d62140c2f2c1e3e5971ab392ea38ad96,PRESENT_AND_READABLE,Documentary evidence only; no source mutation; maturity is not inferred from file count.
SRC-044,NEXAHEDRON / THE EYE,/Users/tho2020/Documents/NEXAH ECOSYSTEM/40 EXPERIENCE PRODUCTION/NEXAHEDRON/docs/THE_EYE_LOCAL_RESULT_VIEW.md,MD,documentary evidence,SOURCE_DOCUMENTATION,software reality; usability; public entry points,4de5926ea97a4b89e0b37f3575c99ba9e6b68b5863b5fd0758bfd8fc86dece79,PRESENT_AND_READABLE,Documentary evidence only; no source mutation; maturity is not inferred from file count.
SRC-045,NEXAHEDRON / THE EYE,/Users/tho2020/Documents/NEXAH ECOSYSTEM/40 EXPERIENCE PRODUCTION/NEXAHEDRON/NEXAHEDRON_RELEASE_READINESS_REPORT.md,MD,verification or assessment evidence,SOURCE_DOCUMENTATION,software reality; usability; public entry points,c2c5f2a3d7d3bdba2fa8aeabd357ee8266302aaf76f8592a4d206b94433508bb,PRESENT_AND_READABLE,Documentary evidence only; no source mutation; maturity is not inferred from file count.
SRC-046,SCIENCE LAB,/Users/tho2020/Documents/NEXAH ECOSYSTEM/30 SCIENCE LAB/NEXAH-Science-Lab/README.md,MD,system or package orientation,SOURCE_DOCUMENTATION,capability breadth; visual corpus; research-stage coverage,0873ff6cc1fafa3600604f32b8edf8a437a1bb9ffc9d5ffe2bef8e467929957b,PRESENT_AND_READABLE,Documentary evidence only; no source mutation; maturity is not inferred from file count.
SRC-047,SCIENCE LAB,/Users/tho2020/Documents/NEXAH ECOSYSTEM/30 SCIENCE LAB/NEXAH-Science-Lab/00_LAB_ENTRY/README.md,MD,system or package orientation,SOURCE_DOCUMENTATION,capability breadth; visual corpus; research-stage coverage,dd5194d597feccd8f3895dd3d5b56346c579169a7dd96a523a4e8fb5d036929d,PRESENT_AND_READABLE,Documentary evidence only; no source mutation; maturity is not inferred from file count.
SRC-048,SCIENCE LAB,/Users/tho2020/Documents/NEXAH ECOSYSTEM/30 SCIENCE LAB/NEXAH-Science-Lab/SCIENCE_LAB/CASE_STUDIES/NEXAH_HTML_ORIENTATION_DEMONSTRATOR_SERIES/00_SERIES_INDEX.md,MD,system or package orientation,SOURCE_DOCUMENTATION,capability breadth; visual corpus; research-stage coverage,9fb0fe22f4ab1249f52b19ecaf95013f6b987e123004b1bc11b113feec7efdd2,PRESENT_AND_READABLE,Documentary evidence only; no source mutation; maturity is not inferred from file count.
SRC-049,SCIENCE LAB,/Users/tho2020/Documents/NEXAH ECOSYSTEM/30 SCIENCE LAB/NEXAH-Science-Lab/SCIENCE_LAB/CASE_STUDIES/NEXAH_HTML_ORIENTATION_DEMONSTRATOR_SERIES/02_HTML_TECHNICAL_VALIDATION.md,MD,verification or assessment evidence,SOURCE_DOCUMENTATION,capability breadth; visual corpus; research-stage coverage,14bf8b4439ff34f24f0285b8dd8145a88a6c8054f11faf2fcdfb11febcb291e0,PRESENT_AND_READABLE,Documentary evidence only; no source mutation; maturity is not inferred from file count.
SRC-050,SCIENCE LAB,/Users/tho2020/Documents/NEXAH ECOSYSTEM/30 SCIENCE LAB/NEXAH-Science-Lab/NEXAH_LAB_OPERATOR_DEMONSTRATOR_AUDIT/OPERATOR_DEMONSTRATOR_AUDIT.md,MD,verification or assessment evidence,SOURCE_DOCUMENTATION,capability breadth; visual corpus; research-stage coverage,7015a70dd87501d9a9c33ea8ed7a22237c5d8ced8d9a8bc5334cf74c4d4b1aef,PRESENT_AND_READABLE,Documentary evidence only; no source mutation; maturity is not inferred from file count.
SRC-051,SCIENCE LAB,/Users/tho2020/Documents/NEXAH ECOSYSTEM/30 SCIENCE LAB/NEXAH-Science-Lab/ILAU_FIELD_LAB_NEON_NBAND_INTAKE_2026-09-04/00_README.md,MD,system or package orientation,SOURCE_DOCUMENTATION,capability breadth; visual corpus; research-stage coverage,c42ac1a6596742bcd368070d344e94d49490af8f1262436e91beabb7fb503f07,PRESENT_AND_READABLE,Documentary evidence only; no source mutation; maturity is not inferred from file count.
SRC-052,SCIENCE LAB,/Users/tho2020/Documents/NEXAH ECOSYSTEM/30 SCIENCE LAB/NEXAH-Science-Lab/ILAU_FIELD_LAB_NEON_NBAND_INTAKE_2026-09-04/03_REPORT_SUCCESSION_AND_DELTA.md,MD,verification or assessment evidence,SOURCE_DOCUMENTATION,capability breadth; visual corpus; research-stage coverage,8003b3a665557d861a99eeeaa9d3284201e37984d2e91e2e55cfc13e0d5923fa,PRESENT_AND_READABLE,Documentary evidence only; no source mutation; maturity is not inferred from file count.
SRC-053,SCIENCE LAB,/Users/tho2020/Documents/NEXAH ECOSYSTEM/30 SCIENCE LAB/NEXAH-Science-Lab/ILAU_FIELD_LAB_NEON_NBAND_INTAKE_2026-09-04/12_FINAL_BOUNDED_ASSESSMENT.md,MD,verification or assessment evidence,SOURCE_DOCUMENTATION,capability breadth; visual corpus; research-stage coverage,4d7610b8e1df2d10190ec48cf456e242878d26d6c5e01a71ad6a17d0f1c31206,PRESENT_AND_READABLE,Documentary evidence only; no source mutation; maturity is not inferred from file count.
SRC-054,SCIENCE LAB,/Users/tho2020/Documents/NEXAH ECOSYSTEM/30 SCIENCE LAB/NEXAH-Science-Lab/HOOK_MIRROR_ROPE_KHIPPU_TRANSLATION_2026-09-04/00_README.md,MD,system or package orientation,SOURCE_DOCUMENTATION,capability breadth; visual corpus; research-stage coverage,6c1d5eb6cb46fb840eac5f2a70267479406d094cb72e7e26fa007021dac3f097,PRESENT_AND_READABLE,Documentary evidence only; no source mutation; maturity is not inferred from file count.
SRC-055,SCIENCE LAB,/Users/tho2020/Documents/NEXAH ECOSYSTEM/30 SCIENCE LAB/NEXAH-Science-Lab/HOOK_MIRROR_ROPE_KHIPPU_TRANSLATION_2026-09-04/03_GLYPH_FAMILY_LEDGER.csv,CSV,structured evidence register,SOURCE_DOCUMENTATION,capability breadth; visual corpus; research-stage coverage,c1a49ae3d6666672752ad877cc666d5d6dff3223acb585847fdb4e1d2d42e8f5,PRESENT_AND_READABLE,Documentary evidence only; no source mutation; maturity is not inferred from file count.
SRC-056,SCIENCE LAB,/Users/tho2020/Documents/NEXAH ECOSYSTEM/30 SCIENCE LAB/NEXAH-Science-Lab/NEXAH_RELATIONAL_DESCRIPTION_LANGUAGE_CANDIDATE_2026-09-04/00_README.md,MD,system or package orientation,SOURCE_DOCUMENTATION,capability breadth; visual corpus; research-stage coverage,2eecc9daa47bfbeacfb146ddbc33eabd9bea1687faf4f0931db5a83bf4f0af1f,PRESENT_AND_READABLE,Documentary evidence only; no source mutation; maturity is not inferred from file count.
SRC-057,SCIENCE LAB,/Users/tho2020/Documents/NEXAH ECOSYSTEM/30 SCIENCE LAB/NEXAH-Science-Lab/NRDL_IFR01_PRODUCTION_INTERFACE_REVIEW_2026-09-04/15_FINAL_INTERFACE_REVIEW_DECISION.md,MD,governance or bounded decision evidence,GOVERNANCE_EVIDENCE,capability breadth; visual corpus; research-stage coverage,edc3af985c21c81fa1dfb0fbe2e1866cdaabc94d7075dd430cb35d9c5504931c,PRESENT_AND_READABLE,Documentary evidence only; no source mutation; maturity is not inferred from file count.
SRC-058,SCIENCE LAB,/Users/tho2020/Documents/NEXAH ECOSYSTEM/30 SCIENCE LAB/NEXAH-Science-Lab/NRDL_TAR01_ORION_EYE_TARGET_ARCHITECTURE_REVIEW_2026-09-04/15_FINAL_TARGET_ARCHITECTURE_DECISION.md,MD,governance or bounded decision evidence,GOVERNANCE_EVIDENCE,capability breadth; visual corpus; research-stage coverage,647b5590cc5aa115b7445f7e003b152c9203e8efd37195cb046067bc35e3966f,PRESENT_AND_READABLE,Documentary evidence only; no source mutation; maturity is not inferred from file count.
SRC-059,SCIENCE LAB,/Users/tho2020/Documents/NEXAH ECOSYSTEM/30 SCIENCE LAB/NEXAH-Science-Lab/NRRC_OG01_RELATION_RECORD_CONTRACT_OWNER_GATE_2026-09-05/15_FINAL_OWNER_GATE_DECISION.md,MD,governance or bounded decision evidence,GOVERNANCE_EVIDENCE,capability breadth; visual corpus; research-stage coverage,da647bccd966f09e6ef4e50c99ed567af6a48e5032c3e12f19403b34b6cddcbd,PRESENT_AND_READABLE,Documentary evidence only; no source mutation; maturity is not inferred from file count.
SRC-060,SCIENCE LAB,/Users/tho2020/Documents/NEXAH ECOSYSTEM/30 SCIENCE LAB/NEXAH-Science-Lab/NRRC_IGA01_INSTITUTIONAL_AUTHORITY_REPOSITORY_GATE_2026-09-05/14_FINAL_INSTITUTIONAL_GATE_DECISION.md,MD,governance or bounded decision evidence,GOVERNANCE_EVIDENCE,capability breadth; visual corpus; research-stage coverage,c6f3ea3ce4a02daafe5803ec410f457396a542cbe97b0f20b47b76915410df18,PRESENT_AND_READABLE,Documentary evidence only; no source mutation; maturity is not inferred from file count.
