record_id,exact_path,filename,sha256,matched_expression,source_context,date_if_explicit,authority_status,mathematical_role,evidential_ceiling
SRC-017,/Users/tho2020/Documents/DESKTOP_archy/1033 White Chanels_Releases/GITHUB_SCIENCE_PRESS_RELEASES_Communication System Y  /▲▲▲Ullinirium▲▲Continuum_▲_The_Scientific▲Resonance▲Quest/VISUAL_REFERENCE_GALLERY/freq_ratio_vs_k_f0_7.png,freq_ratio_vs_k_f0_7.png,f893f325df9caa705c82cc45cb0a0158f19b92885aa534b1fd8d8c60c6b4f174,freq_ratio_vs_k_f0_7.png; f0=1/7,Matplotlib 3.6.3 plot,2025-10-27,ARCHIVED_SOURCE_VISUAL,dyadic ladder,VISUALLY_ENCODED
SRC-018,/Users/tho2020/Documents/DESKTOP_archy/1033 White Chanels_Releases/GITHUB_SCIENCE_PRESS_RELEASES_Communication System Y  /▲▲▲Ullinirium▲▲Continuum_▲_The_Scientific▲Resonance▲Quest/VISUAL_REFERENCE_GALLERY/octave_dphi_sweep_f0_7.png,octave_dphi_sweep_f0_7.png,24b19a445a27c856a823125bf9d8e9e0b4be4b3ac03056af76c92d8a148b5f4e,octave_dphi_sweep_f0_7.png,Matplotlib 3.6.3 plot,2025-10-27,ARCHIVED_SOURCE_VISUAL,angular sweep,VISUALLY_ENCODED
SRC-019,/Users/tho2020/Documents/DESKTOP_archy/1033 White Chanels_Releases/GITHUB_SCIENCE_PRESS_RELEASES_Communication System Y  /▲▲▲Ullinirium▲▲Continuum_▲_The_Scientific▲Resonance▲Quest/VISUAL_REFERENCE_GALLERY/ladder_polar_map_f0_7.png,ladder_polar_map_f0_7.png,b8e7d2a6d12258facd610214ee9291a1ba4805622430dbbd7c84d5b6d3b4589c,ladder_polar_map_f0_7.png,Matplotlib 3.6.3 plot,2025-10-27,ARCHIVED_SOURCE_VISUAL,polar angular sweep,VISUALLY_ENCODED
SRC-020,/Users/tho2020/Documents/DESKTOP_archy/1033 White Chanels_Releases/GITHUB_SCIENCE_PRESS_RELEASES_Communication System Y  /▲▲▲Ullinirium▲▲Continuum_▲_The_Scientific▲Resonance▲Quest/data/octave_shrinking_ladder_f0_7.csv,octave_shrinking_ladder_f0_7.csv,732b625f3891d552cfa963a95aa5b36eb07a81649a21750972fe62563e4feb25,k=0..11; delta_phi; (1/7)*2^k; 2^(k/3),Exact twelve-row table,2025-10-27,ARCHIVED_SOURCE_DATA,numeric plot source,SOURCE_DOCUMENTED
SRC-021,/Users/tho2020/Documents/DESKTOP_archy/1033 White Chanels_Releases/GITHUB_SCIENCE_PRESS_RELEASES_Communication System Y  /▲▲▲Ullinirium▲▲Continuum_▲_The_Scientific▲Resonance▲Quest/data/README_Octave_Ladder.md,README_Octave_Ladder.md,8e93be6bcca8e663d07aaf569ab081ac5c829c25aa0d5e5dc974df4b8c96c6dc,f_k=f0*2^k; f0 may be 1/7; k=12 repeats mod360,Specification; not executable generator,2025-10-27,ARCHIVED_SOURCE_DOCUMENT,formula/domain,SOURCE_DOCUMENTED
SRC-022,/Users/tho2020/Documents/DESKTOP_archy/1033 White Chanels_Releases/GITHUB_SCIENCE_PRESS_RELEASES_Communication System Y  /▲▲▲Ullinirium▲▲Continuum_▲_The_Scientific▲Resonance▲Quest/data/README_Normalization_Comparison.md,README_Normalization_Comparison.md,e5511655c659a751d5d8b8689500cdc5367729b503ca2706eeadc6a9c8df172b,2^n ladder; f0=1/7 artifact set,Normalization inventory,2025-10-27,ARCHIVED_SOURCE_DOCUMENT,scope,SOURCE_DOCUMENTED
SRC-023,/Users/tho2020/Desktop/Desktop TASKS/ARE.NA UPLOADED BOOKS/NEXAH_Whiteboards_TBReleased/NEXAH ORIGIN THREAD_FROM SYMBOLIC CODEX_TO TRANSITION GEOMETRY/New Folder With Items/SCARAB NONAGON v0.2 TOTIENT RADIUS FIELD.png,SCARAB NONAGON v0.2 TOTIENT RADIUS FIELD.png,f196b1c7cbf59756a2602f21cdc84b6d58f7a35271033976be01b44e00a2f8af,2401=7^4; phi=2058; R=.85714; complement=.14286,Exact named visual,,ARCHIVED_SOURCE_VISUAL,totient; no integer 204,VISUALLY_ENCODED
SRC-024,/Users/tho2020/Documents/DESKTOP_archy/y-1031_Release_some hot STUFF..../🧵 🌍🌍🌍THE RETURN THREAD_NEXAH → NEYAH → NEVAH → NEXIT_ — Ein Zyklus des Dazwischen/NEXAH → NEYAH → NEVAH → NEXIT — Ein Zyklus des Dazwischen/NEVAH_visuals_curated/A_quadriptych_digital_illustration_features_four_p.png,A_quadriptych_digital_illustration_features_four_p.png,caebc714c80ea090733344f93e5362f808cebad1b9e8be29cbe3c26f69297ec3,three displayed 204 equations,All three false as rendered,C2PA 2025-01-13,ARCHIVED_SOURCE_VISUAL,corruption evidence,OCR_OR_RENDERING_ERROR
SRC-025,/Users/tho2020/.codex/attachments/6f573d5d-049d-4dcc-b76f-c21d0efd5a36/pasted-text.txt,pasted-text.txt,3c0a5b0759cd3e291ec683645837b4ed9b59f9b1ce1359ced4142cbb97c54dd0,(12*17)^2=23^3+24^3+25^3=41616,Pre-audit task record,2026-09-08,PRIOR_TASK_AUTHORITY,earlier subidentity; no 7*204,SOURCE_DOCUMENTED
SRC-026,/Users/tho2020/Documents/NEXAH ECOSYSTEM/30 SCIENCE LAB/NEXAH-Science-Lab/00_INCOMING/NEXAH_MULTI_VIEW_METHOD_ADOPTION_GATE_01_2026-09-08/results/compatibility_results.json,compatibility_results.json,80ce780c79895abc18df2e71ef8561d66ffaad9f7ec36fd05c955ffdaf7f9329,two distinct paths output 41616,"Prior machine result stores value, not formulas",2026-09-08,COMPLETED_GATE,value corroboration,GENERATOR_IMPLEMENTED
SRC-027,,NOT_LOCATED,,executable generator for f0=1/7 PNGs,"No Python, notebook, or JS generator found; PNG metadata names Matplotlib 3.6.3",,SEARCH_RESULT,generator provenance unresolved,NOT_LOCATED
